stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits		Return
Stellako	3	2005	197180	114487.4625					12	0	6640.015464			4858.614224	0	0	0	11498.62969	11510.62969		0.575885706
Stellako	3	2006	155849	84370.7823				110.6669244	87	0	389228.984			81630.06282	0	0	0	470969.7137	471056.7137		0.827365543
Stellako	3	2007	43254	20655.025				0	20	0	113525.2529	0		24716.00459	0	0	0	138241.2575	138261.2575		0.821211084
Stellako	3	2008	225724	84046.9495				0	454	0	259916.6935	0		14563.53196	0	0	0	274480.2254	274934.2254		0.946941417
Stellako	3	2009	39029	20088.6871				0	0	0	152682.1899	0		49483.31505	0	480.9443042	0	202646.4492	202646.4492		0.753440653
Stellako	3	2010	228945	121888.5696				0	12308	0	1500993.89	0		128893.0735	0	0	0	1629886.963	1642194.963		0.920919239
Stellako	3	2011	95688	27051.5168				0	0	0	42804.04307	0		12081.59837	0	0	0	54885.64144	54885.64144		0.77431217
Stellako	3	2012	168934	67416.2032				0	50	0	42514.99172	0		6855.029038	0	0	0	49370.02076	49420.02076		0.864946998
Stellako	3	2013	123541	61275.0872				0	188	0	109354.0347	0		37908.77665	0			147262.8113	147450.8113		0.782661292
Stellako	3	2014	567546	271146.9595				0	393	0	361248.3421	0		13500				374748.3421	375141.3421		
Stellako	3	2015	135739	57021.8525				0	53		27500			4608.695652				32108.69565	32161.69565		
Stellako	3	2016	56939	31884.6554					39		15391.30435							15391.30435	15430.30435		
Stellako	3	2017	96713	51752.6038					2												
Stellako	3	2018	354446	153999.8606																	
Stellako	3	2019	69382	35075.0789																	
																					
																					
Bowron	4	1948	25205	12825.95			0	0	0	0	80266	0		0	0	0	0	80266	80266		1
Bowron	4	1949	22283	10720.7232			0	0	45	0	62746	0		0	0	0	0	62746	62791		1
Bowron	4	1950	16146	7298.1076			0	0	550	0	65365	0		9633	0	0	0	74998	75548		0.871556575
Bowron	4	1951	21770	10039.2016			0	0	378	0	103443	0		0	0	0	0	103443	103821		1
Bowron	4	1952	25742	12714.934			0	0	8	0	36992	0		6304	0	0	0	43296	43304		0.854397635
Bowron	4	1953	13591	5762.757			0	0	3	0	70599	0		4977	0	0	0	75576	75579		0.934145761
Bowron	4	1954	10819	4583.8506			0	0	652	0	62971	0		3293	0	0	0	66264	66916		0.950304841
Bowron	4	1955	9432	4501.919			0	0	43	0	92623	0		4289	0	0	0	96912	96955		0.955743355
Bowron	4	1956	14844	7786.1808			0	0	0	0	27586	0		10160	738	0	0	38484	38484		0.716817379
Bowron	4	1957	12960	6844.7072			0	0	0	0	41008	0		958	0	0	0	41966	41966		0.977171996
Bowron	4	1958	14952	8327.5544			0	0	43	0	17945	0		167	0	0	0	18112	18155		0.990779594
Bowron	4	1959	30115	14983.8712			0	0	11	0	56454	0		5400	0	0	0	61854	61865		0.912697643
Bowron	4	1960	13069	6277.8928			0	0	4	0	17278	0		451	0	0	0	17729	17733		0.974561453
Bowron	4	1961	7712	3795.2524			0	0	0	0	26835	0		1313	0	0	0	28148	28148		0.953353702
Bowron	4	1962	7338	3286.5473			0	0	6	0	18822	0		2499	0	0	0	21321	21327		0.882791614
Bowron	4	1963	30002	12535.1959			0	0	28	0	204973	0		9315	0	0	0	214288	214316		0.956530464
Bowron	4	1964	21471	8896.2376			0	0	0	0	25416	0		2091	0	0	0	27507	27507		0.923982986
Bowron	4	1965	4339	2110.847			0	0	50	0	16770	0		1029	0	0	0	17799	17849		0.942187763
Bowron	4	1966	3072	1181.0199			0	0	0	0	21196	0		1053	0	0	0	22249	22249		0.95267203
Bowron	4	1967	33360	14341.1184			0	0	124	0	193857	0		12513	0	0	0	206370	206494		0.939366187
Bowron	4	1968	13923	5545.6344			0	0	0	0	37393	0		6150	1099	0	0	44642	44642		0.837619282
Bowron	4	1969	4753	2295.0354			0	0	0	0	16003	0		1208	0	0	0	17211	17211		0.929812329
Bowron	4	1970	2144	510.1089			0	0	371	0	15826	0		0	0	0	0	15826	16197		1
Bowron	4	1971	27796	10875.8892			0	0	0	0	124161	0		346	0	0	0	124507	124507		0.99722104
Bowron	4	1972	12707	5096.9175			0	0	0	0	16860	0		111	0	0	0	16971	16971		0.993459431
Bowron	4	1973	5599	2363.3993			0	0	0	0	10538	0		124	0	0	0	10662	10662		0.988369912
Bowron	4	1974	3641	1083.1629			0	0	0	0	15702	0		1729	0	0	0	17431	17431		0.900808904
Bowron	4	1975	34256	15980.6968			0	0	122	0	121742	0		634	282	0	0	122658	122780		0.992532081
Bowron	4	1976	19994	9889.0238			0	0	0	0	7112	0		0	0	0	0	7112	7112		1
Bowron	4	1977	5389	2387.6183			0	0	0	0	5875	0		9521	0	0	0	15396	15396		0.381592621
Bowron	4	1978	5720	1807.1248			0	0	0	0	39903	0		724	0	0	0	40627	40627		0.982179339
Bowron	4	1979	40025	17826.6656			0	0	0	0	15714	0		14270	0	0	0	29984	29984		0.524079509
Bowron	4	1980	28388	12407.711			0	0	0	0	39381	0		5789	0	0	0	45170	45170		0.871839717
Bowron	4	1981	5979	2469.9028			0	0	0	0	14724	0		1808	0	0	0	16532	16532		0.890636342
Bowron	4	1982	3856	1428.5026			0	0	0	0	3066	0		2211	0	0	0	5277	5277		0.581011939
Bowron	4	1983	14876	6538.8602			0	0	17	0	36597	0		1535	407	0	0	38539	38556		0.949609486
Bowron	4	1984	39533	13981.098			0	0	12	0	44712	0		5879	0	0	0	50591	50603		0.88379356
