"","2.5","25","50","75","97.5","agent"
"b.prev_std.Stock.Raft.","-1.03100739742804","-0.562283162545312","-0.338826750146262","-0.113712059609608","0.40655157568733","fl_psy"
"b.prev_std.Stock.Scotch.","-1.0525255698419","-0.56172072797336","-0.332234523031912","-0.10982134362241","0.426274837990125","fl_psy"
"b.prev_std.Stock.Seymour.","-1.00066659761361","-0.527159264568293","-0.30283151959295","-0.0709553204283905","0.461707844894075","fl_psy"
"b.prev_std.Stock.Stellako.","-0.990656183713806","-0.523694268243455","-0.31172788226184","-0.0831822414026616","0.45296484151477","fl_psy"
"b.prev_std.Stock.Weaver.","-1.03977395076873","-0.576536132945266","-0.349159819699981","-0.127809141068602","0.39935018878653","fl_psy"
"prev_std","-0.793423523175025","-0.278832091615964","-0.0628526262247932","0.17055888738254","0.675654065849703","ic_hof"
"b.prev_std.Stock.Birkenhead.","-0.765422320951978","-0.291952437289091","-0.0520972743147006","0.181026801415957","0.722706008653789","ic_hof"
"b.prev_std.Stock.Bowron.","-0.762273951246233","-0.248126959877362","-0.0152692830509939","0.229045090763285","0.757036674429228","ic_hof"
"b.prev_std.Stock.Chilko.","-0.782099754235328","-0.264852098857487","-0.0400072276761903","0.205055572794411","0.724820949462972","ic_hof"
"b.prev_std.Stock.E.Stuart.","-0.812670499657487","-0.280568231543815","-0.0440177534428499","0.202337358989432","0.722272349749495","ic_hof"
"b.prev_std.Stock.Fennell.","-0.856434253274113","-0.329686896216573","-0.0913247098041632","0.148142149289494","0.6568361835287","ic_hof"
"b.prev_std.Stock.Gates.","-0.841550871718881","-0.304427354026167","-0.0615977392496728","0.183477319815205","0.686843688419979","ic_hof"
"b.prev_std.Stock.Harrison.","-0.797042919374952","-0.296768095214881","-0.0588870610326812","0.196778837514938","0.676185593126989","ic_hof"
"b.prev_std.Stock.L.Shuswap.","-0.788488242127671","-0.264085186834918","-0.0305778328241906","0.211516606295458","0.75593035357821","ic_hof"
"b.prev_std.Stock.L.Stuart.","-0.838052443720036","-0.30772150399614","-0.0710405300576871","0.170751114463431","0.701456496651148","ic_hof"
"b.prev_std.Stock.Nadina.","-0.786385389081932","-0.271307425527526","-0.0370223203916217","0.219083006182926","0.742042131683085","ic_hof"
"b.prev_std.Stock.Pitt.","-0.828266008279632","-0.311116693276642","-0.0787854615640697","0.172383088234402","0.687228920536054","ic_hof"
"b.prev_std.Stock.Portage.","-0.804515093911616","-0.306956857954072","-0.0737890323561555","0.167667199262391","0.697280630104405","ic_hof"
"b.prev_std.Stock.Quesnel.","-0.763926037543143","-0.243201661617176","-0.0111105951001999","0.235522855662776","0.754772857115442","ic_hof"
"b.prev_std.Stock.Raft.","-0.815289973893185","-0.27361860584218","-0.0470558521905975","0.182507419145916","0.730428194057468","ic_hof"
"b.prev_std.Stock.Scotch.","-0.873599745391449","-0.311746357437882","-0.0852667806625406","0.148906758333015","0.685207358082062","ic_hof"
"b.prev_std.Stock.Seymour.","-0.826927578041921","-0.295479103498587","-0.0670080178229057","0.170889433337533","0.69747774442524","ic_hof"
"b.prev_std.Stock.Stellako.","-0.845886775741205","-0.358841690734506","-0.111682400621416","0.134680474827509","0.66325428826173","ic_hof"
"b.prev_std.Stock.Weaver.","-0.962164289331379","-0.390428286195601","-0.146582548432175","0.0954341605756534","0.650753448028166","ic_hof"
"prev_std","-1.16399445728384","-0.761912757835764","-0.591143576387802","-0.406896512207225","-0.00508081321607208","ic_mul"
"b.prev_std.Stock.Birkenhead.","-1.17196536989263","-0.734741754730133","-0.524020432763521","-0.306888058060084","0.19385065658747","ic_mul"
"b.prev_std.Stock.Bowron.","-1.23767759288626","-0.843463237719821","-0.638617542858042","-0.429277765472511","0.0177006151312929","ic_mul"
"b.prev_std.Stock.Chilko.","-1.18012943699369","-0.764274259804939","-0.542600531630835","-0.329220831774505","0.150842353549517","ic_mul"
"b.prev_std.Stock.E.Stuart.","-1.18403063333021","-0.749317965566185","-0.554856274743991","-0.352637019409266","0.115973148384845","ic_mul"
"b.prev_std.Stock.Fennell.","-1.34155829996875","-0.86441849793995","-0.664210188158844","-0.476510444491657","0.0085222260633645","ic_mul"
"b.prev_std.Stock.Gates.","-1.16306982262366","-0.727572139893182","-0.514078616163698","-0.294476045180342","0.220088504294724","ic_mul"
"b.prev_std.Stock.Harrison.","-1.18599100653194","-0.743499712543349","-0.535008669277945","-0.308481342464292","0.137199440199889","ic_mul"
"b.prev_std.Stock.L.Shuswap.","-1.43061681769925","-0.960565305364069","-0.723978722330163","-0.519089301532792","-0.035842320205241","ic_mul"
"b.prev_std.Stock.L.Stuart.","-1.14999681416266","-0.704775824101113","-0.500349475458116","-0.275611982200446","0.237195640958981","ic_mul"
"b.prev_std.Stock.Nadina.","-1.20531861264209","-0.791945723785711","-0.590794644397115","-0.365259176344812","0.0888162585680061","ic_mul"
"b.prev_std.Stock.Pitt.","-1.09011106389933","-0.656669562426122","-0.441734175683545","-0.206777002969309","0.316347449084298","ic_mul"
"b.prev_std.Stock.Portage.","-1.33602455655669","-0.899231312118532","-0.693165394505773","-0.486457409899054","-0.0233082535338287","ic_mul"
"b.prev_std.Stock.Quesnel.","-1.20378109804561","-0.781485534905848","-0.581372489813545","-0.37916433006687","0.119692819983833","ic_mul"
"b.prev_std.Stock.Raft.","-1.16172472078262","-0.737483316442147","-0.537947415093872","-0.33210968280567","0.174931902381892","ic_mul"
"b.prev_std.Stock.Scotch.","-1.2968441481078","-0.873947814270382","-0.664907393222152","-0.475677363862612","-0.038389380172488","ic_mul"
"b.prev_std.Stock.Seymour.","-1.33313437485877","-0.840827318389909","-0.646725930873927","-0.43571325837674","0.031494361044648","ic_mul"
"b.prev_std.Stock.Stellako.","-1.2512018552555","-0.81067379558319","-0.615662595876874","-0.409437703334783","0.0617136846860844","ic_mul"
"b.prev_std.Stock.Weaver.","-1.43244445082955","-0.933728882887311","-0.714896488743421","-0.514881772243765","-0.0378884973063787","ic_mul"
"prev_std","-0.607378733708962","-0.0976876135908847","0.148903486525177","0.386104121457284","0.97417743319267","ku_thy"
"b.prev_std.Stock.Birkenhead.","-0.621498527501336","-0.0997868082990884","0.157394044670633","0.408494306888216","0.991411863655887","ku_thy"
"b.prev_std.Stock.Bowron.","-0.616322200633947","-0.106773275022963","0.165499937010748","0.41093983833036","0.992912295559612","ku_thy"
"b.prev_std.Stock.Chilko.","-0.609090026184336","-0.114175791925566","0.133497042006822","0.397096687649714","0.954745931994489","ku_thy"
"b.prev_std.Stock.E.Stuart.","-0.649345970498758","-0.11575629605735","0.150052598832891","0.395235584888669","0.987484968141122","ku_thy"
"b.prev_std.Stock.Fennell.","-0.673868592270525","-0.137260483475856","0.120849389629539","0.37507880642985","0.966389739570395","ku_thy"
"b.prev_std.Stock.Gates.","-0.571324083820164","-0.0454112065156975","0.223594439577059","0.473984185152325","1.06589889108321","ku_thy"
"b.prev_std.Stock.Harrison.","-0.586925522125545","-0.0750062880481238","0.170868655350251","0.423756430268005","1.01576878235918","ku_thy"
"b.prev_std.Stock.L.Shuswap.","-0.604866620581523","-0.103572126351212","0.157812459631977","0.396699982790374","0.997360741516759","ku_thy"
"b.prev_std.Stock.L.Stuart.","-0.648414778230456","-0.129955501666422","0.128465024588926","0.368698428483355","0.971916646791795","ku_thy"
"b.prev_std.Stock.Nadina.","-0.599369418872889","-0.105025013850127","0.145528129458255","0.397584604423516","1.02112904778098","ku_thy"
"b.prev_std.Stock.Pitt.","-0.592326295346817","-0.0870729137592059","0.164206482571302","0.402041579257015","0.994541996924599","ku_thy"
"b.prev_std.Stock.Portage.","-0.658001873590288","-0.150335817039541","0.116806566403863","0.372482073633997","0.942101030413533","ku_thy"
"b.prev_std.Stock.Quesnel.","-0.668067313167102","-0.137922062519192","0.128499209725089","0.373114191611181","0.952270930560665","ku_thy"
"b.prev_std.Stock.Raft.","-0.656822196007785","-0.165067580090733","0.105476366692182","0.358754881083723","0.954338725044484","ku_thy"
"b.prev_std.Stock.Scotch.","-0.612135690097124","-0.0897820204267309","0.155469443329448","0.402942231683435","0.982313493627191","ku_thy"
"b.prev_std.Stock.Seymour.","-0.662639546116295","-0.130825657445356","0.124491890983977","0.381856491710104","0.975104158515092","ku_thy"
"b.prev_std.Stock.Stellako.","-0.636551893596665","-0.110935900597085","0.142379474189155","0.387027510743677","0.990009969982532","ku_thy"
"b.prev_std.Stock.Weaver.","-0.625875468613641","-0.100521606219271","0.171336521758469","0.407379611559874","1.0173817967984","ku_thy"
"prev_std","-0.829902517575532","-0.238262817947134","-0.0116860048007008","0.207791689029544","0.701290561695932","lo_sal"
"b.prev_std.Stock.Birkenhead.","-0.771242191512227","-0.188887725003261","0.0599301479788636","0.323264332526426","0.842142511665672","lo_sal"
