"","V1","V2","V3"
"b[(Intercept) Stock:E.Stuart]","0.999324458933231","ic_hof","Rhat"
"b[load_std Stock:E.Stuart]","0.999288018130689","ic_hof","Rhat"
"b[(Intercept) Stock:Fennell]","1.00149691489342","ic_hof","Rhat"
"b[load_std Stock:Fennell]","1.00042440448493","ic_hof","Rhat"
"b[(Intercept) Stock:Gates]","1.00273103341942","ic_hof","Rhat"
"b[load_std Stock:Gates]","1.00194337680381","ic_hof","Rhat"
"b[(Intercept) Stock:Harrison]","1.00234245068584","ic_hof","Rhat"
"b[load_std Stock:Harrison]","1.00050078748855","ic_hof","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999737107062904","ic_hof","Rhat"
"b[load_std Stock:L.Shuswap]","0.99967084350454","ic_hof","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00021500462301","ic_hof","Rhat"
"b[load_std Stock:L.Stuart]","1.00020499329114","ic_hof","Rhat"
"b[(Intercept) Stock:Nadina]","0.999662565311609","ic_hof","Rhat"
"b[load_std Stock:Nadina]","1.00059102618954","ic_hof","Rhat"
"b[(Intercept) Stock:Pitt]","1.00142512019712","ic_hof","Rhat"
"b[load_std Stock:Pitt]","1.00071067213014","ic_hof","Rhat"
"b[(Intercept) Stock:Portage]","1.00133734476186","ic_hof","Rhat"
"b[load_std Stock:Portage]","1.00116193560283","ic_hof","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00065216667186","ic_hof","Rhat"
"b[load_std Stock:Quesnel]","1.0001812314966","ic_hof","Rhat"
"b[(Intercept) Stock:Raft]","0.999459686311128","ic_hof","Rhat"
"b[load_std Stock:Raft]","1.00053211133625","ic_hof","Rhat"
"b[(Intercept) Stock:Scotch]","0.999260032415693","ic_hof","Rhat"
"b[load_std Stock:Scotch]","0.99996035191558","ic_hof","Rhat"
"b[(Intercept) Stock:Seymour]","0.999804677373279","ic_hof","Rhat"
"b[load_std Stock:Seymour]","1.00079610050886","ic_hof","Rhat"
"b[(Intercept) Stock:Stellako]","0.999954557841529","ic_hof","Rhat"
"b[load_std Stock:Stellako]","0.999956317689123","ic_hof","Rhat"
"b[(Intercept) Stock:Weaver]","0.999795435733348","ic_hof","Rhat"
"b[load_std Stock:Weaver]","0.999350167446037","ic_hof","Rhat"
"b[(Intercept) Year:2009]","1.0000728516798","ic_hof","Rhat"
"b[(Intercept) Year:2010]","1.00002228196486","ic_hof","Rhat"
"b[(Intercept) Year:2011]","0.999784020460915","ic_hof","Rhat"
"b[(Intercept) Year:2012]","1.00042240347055","ic_hof","Rhat"
"b[(Intercept) Year:2013]","0.999956434221159","ic_hof","Rhat"
"b[(Intercept) Year:2014]","1.00029973703116","ic_hof","Rhat"
"b[(Intercept) Year:2015]","1.00072693673807","ic_hof","Rhat"
"b[(Intercept) Year:2016]","1.00193188940533","ic_hof","Rhat"
"sigma","1.00161676114227","ic_hof","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00064441617443","ic_hof","Rhat"
"Sigma[Stock:load_std,(Intercept)]","1.00298941762702","ic_hof","Rhat"
"Sigma[Stock:load_std,load_std]","1.00084630036885","ic_hof","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00285380393016","ic_hof","Rhat"
"mean_PPD","0.999443337363739","ic_hof","Rhat"
"log-posterior","1.00272851215221","ic_hof","Rhat"
"load_std","1.00000734874546","ic_mul","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00096139991515","ic_mul","Rhat"
"b[load_std Stock:Birkenhead]","1.00061084686542","ic_mul","Rhat"
"b[(Intercept) Stock:Bowron]","1.00003594532676","ic_mul","Rhat"
"b[load_std Stock:Bowron]","1.00010372931609","ic_mul","Rhat"
"b[(Intercept) Stock:Chilko]","1.00004156435978","ic_mul","Rhat"
"b[load_std Stock:Chilko]","0.999340298627522","ic_mul","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999992867650374","ic_mul","Rhat"
"b[load_std Stock:E.Stuart]","0.999701911848806","ic_mul","Rhat"
"b[(Intercept) Stock:Fennell]","0.999751521619653","ic_mul","Rhat"
"b[load_std Stock:Fennell]","1.00161292701425","ic_mul","Rhat"
"b[(Intercept) Stock:Gates]","1.00102777622397","ic_mul","Rhat"
"b[load_std Stock:Gates]","1.00199412581161","ic_mul","Rhat"
"b[(Intercept) Stock:Harrison]","1.00203917659838","ic_mul","Rhat"
"b[load_std Stock:Harrison]","1.00120457637745","ic_mul","Rhat"
