"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1981,12,"Portage","5855","2951","",NA,0,0,154,0,15829,0,0,676,3410,0,0,19915,20069,NA,"0.79",2951,996,2023,3963,1.90932912067281,0,0.830086202601027,0.169913797398974,0.744739910050934,326.2901376,1.00697437381005,-0.069795290384635
1982,12,"Portage","23867","11734","",NA,0,0,1276,0,198075,0,0,11246,387,0,0,209708,210984,NA,"0.94",11734,2951,996,2023,2.88322547641424,0,0.99816573768627,0.00183426231372995,-0.43549674233361,261.7616152,-0.811134591244152,-0.537552875144447
1983,12,"Portage","7747","4909","",NA,0,0,432,0,36858,0,0,0,68,0,0,36926,37358,NA,"1",4909,11734,2951,996,2.01784565489764,0,0.998179774077841,0.00182022592215857,-0.157921791605481,270.3310462,-0.383541103638361,-0.475434354554769
1984,12,"Portage","1710","941","",NA,0,0,517,0,24388,0,0,25188,472,0,0,50048,50565,NA,"0.49",941,4909,11734,2951,3.9737946843196,0,0.990665480075151,0.0093345199248492,-0.0202172157371187,212.1579015,-0.171412524671231,-0.897122759165675
1985,12,"Portage","1765","960","",NA,0,0,1174,0,23668,0,0,329,669,0,0,24666,25840,NA,"0.96",960,941,4909,11734,3.24624777166405,0,0.974109907120743,0.025890092879257,0.169802600130169,364.3859048,0.12130566033706,0.206355214729737
1986,12,"Portage","14291","6212","",NA,0,0,255,0,67751,0,0,3588,0,0,0,71339,71594,NA,"0.95",6212,960,941,4909,2.44096025716451,0,1,0,0.0190167505233064,303.0355966,-0.110974115434748,-0.238363971772232
1987,12,"Portage","6820","3766","",NA,0,0,292,0,60858,373,0,1015,506,0,0,62379,63044,NA,"0.98",3766,6212,960,941,2.80721525003711,0,0.986057356766703,0.0139426432332974,0.551021359600217,486.0193237,0.708558431075036,1.08805763305045
1988,12,"Portage","1068","797","",NA,0,0,394,0,15654,8,0,5040,0,0,0,20694,21096,NA,"0.76",797,3766,6212,960,3.25674440337468,0,0.999620781190747,0.000379218809252939,0.482291714784537,277.2341688,0.602683068577257,-0.425394653743692
1989,12,"Portage","7900","5067","",NA,0,0,178,0,185837,0,0,9777,3561,0,0,199175,199353,NA,"0.93",5067,797,3766,6212,3.67143490877266,0,0.982137213886924,0.0178627861130758,-0.12371658191072,398.5924679,-0.330849299607399,0.454313462392791
1990,12,"Portage","18336","8415","",NA,0,0,0,0,50136,0,0,834,0,0,0,50970,50970,NA,"0.98",8415,5067,797,3766,1.80122139670918,0,1,0,1.20884967631982,453.748659,1.72191753806263,0.85413242265906
1991,12,"Portage","12053","7292","",NA,0,0,0,0,15705,0,0,124,62,0,0,15891,15891,NA,"0.99",7292,8415,5067,797,0.778975054414083,0,0.996098420489585,0.0039015795104147,0.989406249365167,434.867605,1.38387341694303,0.717266492861176
1992,12,"Portage","2706","1378","",NA,0,0,1049,0,13925,0,0,2162,0,0,0,16087,17136,NA,"0.87",1378,7292,8415,5067,2.4573783198167,0,1,0,0.639499638063847,424.2513281,0.844855800727369,0.64031069320559
1993,12,"Portage","19760","9829","",NA,0,0,7,0,169441,0,0,4361,1093,0,0,174895,174902,NA,"0.97",9829,1378,7292,8415,2.87884859426699,0,0.993750786154532,0.00624921384546775,1.06912750044435,401.9695761,1.50668092423368,0.47879361343844
1994,12,"Portage","9270","3890","",NA,0,0,23,0,124712,0,0,2935,0,0,0,127647,127670,NA,"0.98",3890,9829,1378,7292,3.49085948401833,0,1,0,0.119495672141086,443.5715796,0.0438097813567761,0.780360299836473
1995,12,"Portage","7875","4319","",NA,0,0,43,0,37059,0,0,918,2294,0,182,40453,40496,NA,"0.92",4319,3890,9829,1378,2.23711691241239,0,0.938858158830502,0.0611418411694982,1.08039782553709,501.0739726,1.52404242461479,1.19718652593319
1996,12,"Portage","3422","1759","",NA,0,0,234,0,83370,0,0,1817,1090,0,0,86277,86511,NA,"0.97",1759,4319,3890,9829,3.89281758464642,0,0.987400446186034,0.0125995538139659,1.09105023283276,381.8192568,1.54045204650252,0.332726969769143
1997,12,"Portage","9766","5056","",NA,0,0,0,0,40148,0,0,1033,318,0,0,41499,41499,NA,"0.97",5056,1759,4319,3890,2.10509367371623,0,0.992337164750958,0.00766283524904215,-0.605067216977874,401.8196412,-1.07235135615003,0.477706757826584
1998,12,"Portage","25179","11873","",NA,0,0,9,0,17568,0,0,110,366,0,0,18044,18053,NA,"0.97",11873,5056,1759,4319,0.418546304862494,0,0.979726361269595,0.0202736387304049,0.436314588390931,382.8857158,0.531857081674751,0.340457571176582
1999,12,"Portage","6264","2079","",NA,0,0,12,0,8262,0,0,689,115,0,0,9066,9078,NA,"0.91",2079,11873,5056,1759,1.47264414364278,0,0.987332011456268,0.0126679885437321,-0.320293322006312,466.3283391,-0.633668173065398,0.945320637757986
2000,12,"Portage","1269","671","",NA,0,0,86,0,12743,0,0,0,0,0,0,12743,12829,NA,"1",671,2079,11873,5056,2.9439682432406,0,1,0,-0.303752993532308,361.2705607,-0.608188436079794,0.183772552401307
2001,12,"Portage","3150","1851","",NA,0,0,25,0,18585,0,0,0,0,0,0,18585,18610,NA,"1",1851,671,2079,11873,2.30662877015786,0,1,0,0.793450806124152,594.4661709,1.08201162728596,1.87417257004905
