"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1963,10,"Birkenhead",48893,"20769","",NA,0,0,95525,0,281641,3924,0,48565,26112,0,311,356629,456078,456078,"0.852925144",20769,14311,10550,19198,3.08920235715413,0,0.933460943084297,0.066539056915703,-0.995509702029656,175.2447665,-1.54789078037756,-1.08096912315329
1964,10,"Birkenhead",48908,"27978","",NA,0,0,39236,0,225898,869,0,85137,14542,0,213,325790,365895,365895,"0.726278393",27978,20769,14311,10550,2.57092791994178,0,0.957299225187554,0.0427007748124462,-0.245013725931946,172.0482063,-0.403694042563941,-1.10264076411181
1965,10,"Birkenhead",16230,"9769","",NA,0,0,30602,0,109033,2068,0,14770,7215,0,1483,132501,165171,165171,"0.88069756",9769,27978,20769,14311,2.82776719421209,0,0.934819066300985,0.065180933699015,-0.234542296638735,220.7792867,-0.387729433000227,-0.77225985091972
1966,10,"Birkenhead",20116,"13462","",NA,0,0,56603,0,155016,6824,0,61319,36465,0,628,253428,316855,316855,"0.716555342",13462,9769,27978,20769,3.1585733543942,0,0.86139716905209,0.13860283094791,-0.439744508891354,132.2029342,-0.700578148155784,-1.37277878023479
1967,10,"Birkenhead",39876,"17580","",NA,0,0,54257,0,365358,6953,0,45896,19124,0,820,431198,492408,492408,"0.88839987",17580,13462,9769,27978,3.33254574887498,0,0.945376598268103,0.0546234017318971,-0.572711957783551,202.78803,-0.903298650468036,-0.894234733668662
1968,10,"Birkenhead",57947,"31042","",NA,0,0,21213,0,218223,1957,0,35366,8346,0,102,262037,285207,285207,"0.860538115",31042,17580,13462,9769,2.21787410618947,0,0.963517725722019,0.0364822742779806,-0.638794695911401,126.2276425,-1.00404756292034,-1.41328931913995
1969,10,"Birkenhead",37382,"14324","",NA,0,0,73972,0,451184,2190,0,239195,25067,0,261,715707,791869,791869,"0.653530887",14324,31042,17580,13462,4.01245952195708,0,0.965249302599294,0.0347506974007064,-1.20490822554928,158.6269034,-1.86713713897888,-1.19363284292338
1970,10,"Birkenhead",30656,"19252","",NA,0,0,119108,0,531214,22383,0,30799,32549,0,2856,597418,738909,738909,"0.945198777",19252,14324,31042,17580,3.64755982254753,0,0.921792805338682,0.0782071946613182,-0.565042706430866,133.9360774,-0.891606206192929,-1.36102863169696
1971,10,"Birkenhead",24629,"16143","",NA,0,0,62316,0,245897,1952,0,46347,12033,0,551,304828,369096,369096,"0.841409918",16143,19252,14324,31042,3.12957025363034,0,0.960617291978239,0.0393827080217613,-0.374833863143277,228.2673373,-0.601616193022456,-0.721493297521971
1972,10,"Birkenhead",54516,"26202","",NA,0,0,42841,0,424942,1431,0,46655,3256,0,215,475068,519340,519340,"0.901070193",26202,16143,19252,14324,2.98672303091919,0,0.990561096776678,0.00943890322332191,-0.563592826359219,199.0080226,-0.889395737248344,-0.919861957330317
