"","X","X5","X25","X40","X60","X75","X90","agent","stock"
"275","b.load_std.Stock.L.Shuswap.",-0.811016441737227,-0.436566173303363,-0.261030615052457,-0.0734694955361651,0.0789000537431321,0.334544708258629,"pa_ther","L.Shuswap"
"276","b.load_std.Stock.L.Stuart.",-0.723058508331109,-0.343190437712531,-0.177581522142931,0.00852629760573422,0.164919401110494,0.409755048925357,"pa_ther","L.Stuart"
"277","b.load_std.Stock.Nadina.",-0.705153498301997,-0.348780508259904,-0.163920026289483,0.0218465915026602,0.179553475396042,0.431055802177006,"pa_ther","Nadina"
"278","b.load_std.Stock.Pitt.",-1.15840176481417,-0.725229557738313,-0.533435470650448,-0.289790445630315,-0.108771351929957,0.143121583465213,"pa_ther","Pitt"
"279","b.load_std.Stock.Portage.",-0.687512388824408,-0.301724105451229,-0.126862026978618,0.0607653309657945,0.216496169657686,0.47165744041922,"pa_ther","Portage"
"280","b.load_std.Stock.Quesnel.",-0.762957646171635,-0.346737034318803,-0.172066740298828,-0.00223659659164988,0.166973963517457,0.393468701313384,"pa_ther","Quesnel"
"281","b.load_std.Stock.Raft.",-0.846023006744596,-0.456450295349416,-0.260428012410417,-0.0834583829667961,0.0594995779453201,0.288377408683506,"pa_ther","Raft"
"282","b.load_std.Stock.Scotch.",-0.763741864277849,-0.386999330115789,-0.220702586734907,-0.0276781936448257,0.119774528350713,0.348169468802738,"pa_ther","Scotch"
"283","b.load_std.Stock.Seymour.",-0.711262161967387,-0.336697228268614,-0.157398428235069,0.0225496832285586,0.175365482415707,0.449702780756345,"pa_ther","Seymour"
"284","b.load_std.Stock.Stellako.",-0.712318601879475,-0.353076279898657,-0.184872616184745,0.000299321477845609,0.156272167863789,0.400202434347401,"pa_ther","Stellako"
"285","b.load_std.Stock.Weaver.",-0.813453654511429,-0.425157661437157,-0.236151005702853,-0.0461608668144182,0.10589353308305,0.343116973494712,"pa_ther","Weaver"
"286","load_std",-0.78430992493021,-0.403324934045601,-0.24282856405073,-0.0734684346310859,0.0775319914108639,0.285419405926082,"prv","Global"
"287","b.load_std.Stock.Birkenhead.",-0.878683887265941,-0.440401798367603,-0.261257141044982,-0.0623743781582526,0.0935339987504002,0.353345600866606,"prv","Birkenhead"
"288","b.load_std.Stock.Bowron.",-0.877742021305417,-0.421456325766712,-0.248772934532758,-0.0426913824597411,0.113724866803247,0.381494111450665,"prv","Bowron"
"289","b.load_std.Stock.Chilko.",-0.705349018347511,-0.280054364168413,-0.0914134573314292,0.11527870352274,0.292446688262279,0.539755114490342,"prv","Chilko"
"290","b.load_std.Stock.E.Stuart.",-0.635145741544049,-0.215026808210623,-0.0414051137197086,0.167802504013706,0.352549321619799,0.628369117478668,"prv","E.Stuart"
"291","b.load_std.Stock.Fennell.",-1.04124257768585,-0.590570878264223,-0.396990653772016,-0.18563635092281,-0.0296845752354756,0.214868158257993,"prv","Fennell"
"292","b.load_std.Stock.Gates.",-0.829931678171747,-0.380179492260873,-0.214299379754097,-0.0136246376045129,0.165564620626281,0.393759122178728,"prv","Gates"
"293","b.load_std.Stock.Harrison.",-0.618148911656312,-0.194204154858011,-0.0168615634017307,0.201463504960676,0.381893606591241,0.647901094039797,"prv","Harrison"
"294","b.load_std.Stock.L.Shuswap.",-1.10777176184854,-0.645429168823926,-0.46687707306873,-0.260418100531002,-0.0673906711908701,0.173881724596557,"prv","L.Shuswap"
"295","b.load_std.Stock.L.Stuart.",-0.791497026003242,-0.366826990252277,-0.201210242272439,-2.93964118418878e-05,0.162521522991146,0.406563995731777,"prv","L.Stuart"
"296","b.load_std.Stock.Nadina.",-0.704528350625564,-0.286917579301579,-0.116821290571523,0.0892771854979488,0.265984100176858,0.537453523451726,"prv","Nadina"
"297","b.load_std.Stock.Pitt.",-0.614079267321932,-0.197959510453364,-0.0150730604131798,0.182819180551995,0.375592755203379,0.665861234537143,"prv","Pitt"
"298","b.load_std.Stock.Portage.",-1.23123694525596,-0.775619369747369,-0.577144710061966,-0.372126167367599,-0.191310839930705,0.0846636940271639,"prv","Portage"
"299","b.load_std.Stock.Quesnel.",-0.970421842594978,-0.539034276946412,-0.360706702266985,-0.148163901176242,0.0123224857788729,0.26305926568236,"prv","Quesnel"
"300","b.load_std.Stock.Raft.",-0.729978994895023,-0.305525277992787,-0.128791789207378,0.0755100087832124,0.259071312137911,0.515005076823035,"prv","Raft"
"301","b.load_std.Stock.Scotch.",-1.01491685014501,-0.58694067598654,-0.392491783353171,-0.192638700457644,-0.0313299319541863,0.229403049183057,"prv","Scotch"
"302","b.load_std.Stock.Seymour.",-0.926281965284172,-0.478241744415347,-0.297079079442834,-0.101219247136492,0.0517621316364178,0.311780317894482,"prv","Seymour"
"303","b.load_std.Stock.Stellako.",-0.942446118207261,-0.47418723864989,-0.291199900623938,-0.0974965692830049,0.0866088173915006,0.33019770874796,"prv","Stellako"
"304","b.load_std.Stock.Weaver.",-1.52413914693843,-1.02763201113512,-0.808962238309821,-0.552368306669011,-0.369357421943376,-0.0994458898370672,"prv","Weaver"
"305","load_std",-0.350793993856007,-0.0111845056797642,0.139876630645587,0.294310299809436,0.427575176839084,0.633402130220047,"pspv","Global"
"306","b.load_std.Stock.Birkenhead.",-0.433088733741365,-0.0685296899367474,0.0771953810477715,0.251579179754629,0.401759940529823,0.624907517751996,"pspv","Birkenhead"
"307","b.load_std.Stock.Bowron.",-0.329685011789219,0.0347112668373262,0.172915489037219,0.341089692701023,0.491321576641734,0.708046537416624,"pspv","Bowron"
"308","b.load_std.Stock.Chilko.",-0.362691778544908,-0.0126247482078876,0.141305279323138,0.308896833848925,0.467930519273828,0.679790895750777,"pspv","Chilko"
"309","b.load_std.Stock.E.Stuart.",-0.383480435680363,-0.0175659801906722,0.131246596576488,0.303867791876573,0.449264023122361,0.667181911162454,"pspv","E.Stuart"
"310","b.load_std.Stock.Fennell.",-0.346526110851349,-0.00602808329347928,0.15197122419344,0.326803684176104,0.477828876365707,0.689873209378681,"pspv","Fennell"
"311","b.load_std.Stock.Gates.",-0.469767319125163,-0.0809853800501632,0.0767157279091344,0.245192388058544,0.407484788654959,0.619493339118425,"pspv","Gates"
"312","b.load_std.Stock.Harrison.",-0.456867881789139,-0.0819365987666869,0.0684282869645248,0.248804268316933,0.402253332563329,0.61112921085847,"pspv","Harrison"
"313","b.load_std.Stock.L.Shuswap.",-0.418208527975571,-0.0531328154544619,0.0996296005202658,0.261691712717495,0.418084923211826,0.642719300346147,"pspv","L.Shuswap"
"314","b.load_std.Stock.L.Stuart.",-0.358520964659298,-0.00894655271424402,0.14256414311836,0.302950890065723,0.459105688813176,0.672778284987193,"pspv","L.Stuart"
"315","b.load_std.Stock.Nadina.",-0.373663284084536,-0.00624447634287314,0.136961165819323,0.31709927188303,0.458949010785623,0.670153731546972,"pspv","Nadina"
"316","b.load_std.Stock.Pitt.",-0.525996027380865,-0.116150793360749,0.0365134140280359,0.214726789952326,0.366084360022267,0.587346659881356,"pspv","Pitt"
"317","b.load_std.Stock.Portage.",-0.330754931262855,0.0238208912929313,0.178481624461814,0.364303178085566,0.508481347263097,0.723112272858865,"pspv","Portage"
"318","b.load_std.Stock.Quesnel.",-0.379850929792391,-0.0288638859161145,0.130637924418586,0.304681436848046,0.442204840903113,0.669446003029988,"pspv","Quesnel"
"319","b.load_std.Stock.Raft.",-0.398461789094562,-0.0250713193108565,0.122897748292218,0.291214325811342,0.436528751654848,0.651089018270588,"pspv","Raft"
"320","b.load_std.Stock.Scotch.",-0.34139801150007,0.00795152189445036,0.148691660065871,0.326496789051402,0.468727704411795,0.687018506116359,"pspv","Scotch"
"321","b.load_std.Stock.Seymour.",-0.345323177822848,0.0277348199171341,0.181291694843205,0.360734818585481,0.5014495223431,0.733675313677241,"pspv","Seymour"
"322","b.load_std.Stock.Stellako.",-0.310304999806106,0.0425237965060207,0.190710932196002,0.36703189550351,0.520667261914532,0.736461386456686,"pspv","Stellako"
"323","b.load_std.Stock.Weaver.",-0.371591696197936,-0.0151140009269602,0.140883686016551,0.316184323235451,0.465957055073821,0.666712291450065,"pspv","Weaver"
"324","load_std",-0.596065387581748,-0.23552418170948,-0.0871805560766958,0.0906059877990073,0.223982685601911,0.448270901735395,"rlo","Global"
"325","b.load_std.Stock.Birkenhead.",-0.613644075866487,-0.210970173011589,-0.0583294389986636,0.107249018104603,0.264078361267458,0.507185528281573,"rlo","Birkenhead"
"326","b.load_std.Stock.Bowron.",-0.713056545435923,-0.325401898258266,-0.150105699051341,0.0235075280080444,0.172232066393626,0.394368329557226,"rlo","Bowron"
"327","b.load_std.Stock.Chilko.",-0.699282939988416,-0.299477173581621,-0.140084222517968,0.0474582586369733,0.183329487732863,0.421571837093913,"rlo","Chilko"
"328","b.load_std.Stock.E.Stuart.",-0.639751639121973,-0.251000246502784,-0.0897118983115236,0.0840913413550564,0.236529003494444,0.464092137401893,"rlo","E.Stuart"
"329","b.load_std.Stock.Fennell.",-0.597961932663408,-0.215210893137505,-0.0516698642159831,0.132561783921913,0.274034618544311,0.49457017858161,"rlo","Fennell"
"330","b.load_std.Stock.Gates.",-0.599889125647906,-0.207908960934292,-0.0539089686132105,0.118845678587897,0.25641054701293,0.513751003285968,"rlo","Gates"
"331","b.load_std.Stock.Harrison.",-0.629302677420181,-0.232834234530728,-0.0753606054279536,0.108817729986883,0.254807063840321,0.495017651636733,"rlo","Harrison"
