stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits_psc	total_recruits	prop_4s
Stellako	3	1976	150734	65299			0	0	150	0	216701	0	0	27506	0	0	0	244207	244357	244357	0.887366046
Stellako	3	1977	23047	10894			0	0	74	0	209138	0	0	56488	0	0	0	265626	265700	265700	0.787340095
Stellako	3	1978	58898	32528			0	0	860	0	388505	0	0	48040	0	0	0	436545	437405	437405	0.889954071
Stellako	3	1979	290042	152583			0	0	31	0	478737	0	0	145156	0	0	0	623893	623924	623924	0.76733831
Stellako	3	1980	72050	28477			0	0	207	0	535944	0	0	219255	0	0	0	755199	755406	755406	0.70967255
Stellako	3	1981	21826	12030			0	0	28	0	234136	0	0	51734	0	0	0	285870	285898	285898	0.819029629
Stellako	3	1982	69420	34888			0	0	1900	0	309369	0	0	46504	0	0	0	355873	357773	357773	0.869324169
Stellako	3	1983	121692	61357			0	0	1129	0	1097744	0	0	158607	0	0	0	1256351	1257480	1257480	0.873755821
Stellako	3	1984	60957	32672			0	0	170	0	744589	0	0	266430	0	0	0	1011019	1011189	1011189	0.736473795
Stellako	3	1985	42099	21968			0	0	87	0	97659	0	0	30996	0	0	0	128655	128742	128742	0.7590766
Stellako	3	1986	77177	44611			0	0	23	0	445398	0	0	116424	0	0	0	561822	561845	561845	0.792774224
Stellako	3	1987	211085	98179			0	0	14	0	353471	0	0	82191	0	0	0	435662	435676	435676	0.811342279
Stellako	3	1988	367702	200541			0	0	158	0	566227	0	0	425114	0	0	0	991341	991499	991499	0.571172785
Stellako	3	1989	43179	15926			0	0	28	0	127212	0	0	95047	0	0	0	222259	222287	222287	0.572359275
Stellako	3	1990	93920	56536			0	0	1145	0	861027	0	0	89664	0	0	0	950691	951836	951836	0.905685444
Stellako	3	1991	94884	54400	fry leaving 	65558880	0	0	259	0	299039	0	0	37271	0	0	0	336310	336569	336569	0.889176652
Stellako	3	1992	97979	55190	stream for lake	53022000	0	0	275	0	734393	0	0	133793	0	0	0	868186	868461	868461	0.845893622
Stellako	3	1993	91071	42858	brood year 	49770000	0	0	13	0	68158	0	0	241673	0	0	0	309831	309844	309844	0.219984443
Stellako	3	1994	136709	63628	t+1	39866000	0	0	127	0	593409	0	0	88649	704	0	0	682762	682889	682889	0.870027182
Stellako	3	1995	122676	41176		21233000	0	0	75	0	127344	0	0	56540	0	0	0	183884	183959	183959	0.692523547
Stellako	3	1996	332207	167671		36942000	0	0	16	0	635499	0	0	176479	0	0	0	811978	811994	811994	0.782655441
Stellako	3	1997	55357	23264		24851000	0	0	0	0	68515	0	0	56658	0	0	0	125173	125173	125173	0.54736245
Stellako	3	1998	185641	97011		79020000	0	0	73	0	504421	0	0	133503	0	0	0	637924	637997	637997	0.790722719
Stellako	3	1999	138137	66125		24681000	0	0	0	0	143988	0	0	30474	0	0	0	174462	174462	174462	0.825325859
Stellako	3	2000	371604	195418		75156000	0	0	0	0	647582	0	0	70089	0	0	0	717671	717671	717671	0.902338258
Stellako	3	2001	151409	61635		48435000	0	0	0	0	203410	0	0	83718	0	0	0	287128	287128	287128	0.70842969
Stellako	3	2002	322711	177668		60290000	0	0	47	0	224262	0	0	24066	0	0	0	248328	248375	248375	0.903087852
Stellako	3	2003	78093	43879		30593000	0	0	5	0	34522	0	0	14605	0	0	0	49127	49132	49132	0.702709304
Stellako	3	2004	86688	53805			0	332	153	664	213103	0	0	32647	111	0	0	246856	247009	247010	0.867153611
Stellako	3	2005	175299	102347			0	0	12	0	6640	0	0	4890	0	0	0	11530	11542	11542	0.575888985
Stellako	3	2006	147189	79884			0	111	87	0	391750	0	0	81630	0	0	0	473490	473577	473578	0.827559255
Stellako	3	2007	41328	19649			0	0	20	0	113525	0	0	24716	0	0	0	138241	138261	138261	0.821210784
Stellako	3	2008	159737	73837			0	0	454	0	259917	0	0	14564	0	0	0	274480	274934	274935	0.946939861
Stellako	3	2009	27793	15914			0	0	0	0	152682	0	0	49483	0	481	0	202647	202647	202646	0.755234586
Stellako	3	2010	204414	110264			0	0	12308	0	1500999	0	0	128893	0	0	0	1629892	1642200	1642200	0.9209193
Stellako	3	2011	85484	25968			0	0	0	0	42804	0	0	12476	0	0	0	55280	55280	55280	0.77431259
Stellako	3	2012		50572			0	0	50	0	43903	0	0	6855	0	0	0	50758	50808	50808	0.864947397
Stellako	3	2013		54130			0	0	188	0	109354.0347	0	0	37908.77665	0	0	0	139721	139909	147450.8114	0.742577394
Stellako	3	2014		240406			0	0	393	0	361248.3421	0	0	13500	0	0	0	289377	289770	375141.3421	0.963975825
Stellako	3	2015		47613			0	0	53	0	27500	0	0	4608.695652	0	0	0	0	53	32161.69565	0.856465809
Stellako	3	2016		15775			0	0	39	0	15391.30435	0	0	2771.363793	0	0	0	0	0	18201.66814	0.84741428
Bowron	4	1948	25205	12826			0	0	0	0	80266	0	0	0	0	0	0	80266	80266	80266	1
Bowron	4	1949	22283	10721			0	0	45	0	62746	0	0	0	0	0	0	62746	62791	62791	1
Bowron	4	1950	16146	7298			0	0	550	0	65365	0	0	9633	0	0	0	74998	75548	75548	0.871556575
Bowron	4	1951	21731	10039			0	0	378	0	103443	0	0	0	0	0	0	103443	103821	103821	1
Bowron	4	1952	18645	8568			0	0	8	0	36992	0	0	6304	0	0	0	43296	43304	43304	0.854397635
Bowron	4	1953	13277	5734			0	0	3	0	70599	0	0	4977	0	0	0	75576	75579	75579	0.934145761
Bowron	4	1954	10515	4566			0	0	652	0	62971	0	0	3293	0	0	0	66264	66916	66916	0.950304841
Bowron	4	1955	9350	4471			0	0	43	0	92623	0	0	4289	0	0	0	96912	96955	96955	0.955743355
Bowron	4	1956	6994	3639			0	0	0	0	27586	0	0	10160	738	0	0	38484	38484	38484	0.730832406
Bowron	4	1957	12011	6416			0	0	0	0	41008	0	0	958	0	0	0	41966	41966	41966	0.977171996
Bowron	4	1958	14843	8297			0	0	43	0	17945	0	0	167	0	0	0	18112	18155	18155	0.990779594
Bowron	4	1959	29247	14614			0	0	11	0	56454	0	0	5400	0	0	0	61854	61865	61865	0.912697643
Bowron	4	1960	7620	3506			0	0	4	0	17278	0	0	451	0	0	0	17729	17733	17733	0.974561453
Bowron	4	1961	7449	3675			0	0	0	0	26835	0	0	1313	0	0	0	28148	28148	28148	0.953353702
Bowron	4	1962	6286	3219			0	0	6	0	18822	0	0	2499	0	0	0	21321	21327	21327	0.882791614
