"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Raft]","-0.467509748016982","-0.141564435477699","-0.025251680429509","0.0282349381680728","0.243344773545701","ic_mul"
"b[(Intercept) Stock:Scotch]","-0.324758021437562","-0.0595486198347686","0.00550637062211141","0.0846458369767455","0.379569811484778","ic_mul"
"b[(Intercept) Stock:Seymour]","-0.485491671773423","-0.143986362497782","-0.0267056168437927","0.0265186470446211","0.244307486444904","ic_mul"
"b[(Intercept) Stock:Stellako]","-0.407321488009061","-0.0973425046038142","-0.00657697045780345","0.0534416900279806","0.319497828467245","ic_mul"
"b[(Intercept) Stock:Weaver]","-0.484354781497627","-0.137012314223837","-0.0227991516454261","0.0313354371687468","0.251066773121725","ic_mul"
"b[(Intercept) Stock:Birkenhead]","-0.626840014144004","-0.208304065081332","-0.0529605567723436","0.00427147119441908","0.147680404563597","ku_thy"
"b[(Intercept) Stock:Bowron]","-0.595348580960124","-0.186906796967663","-0.0474751176586785","0.00503939500017744","0.156005671210829","ku_thy"
"b[(Intercept) Stock:Chilko]","-0.179699678379714","-0.0113869528680723","0.0373161997780773","0.158432053509184","0.520382114902587","ku_thy"
"b[(Intercept) Stock:E.Stuart]","-0.344002101573512","-0.0632017066762043","0.00039478105074388","0.0623015657463628","0.354538098644289","ku_thy"
"b[(Intercept) Stock:Fennell]","-0.614104913565668","-0.191727024362421","-0.0447708639441721","0.00808686033938829","0.168223950770484","ku_thy"
"b[(Intercept) Stock:Gates]","-0.145941688474229","-0.00190080659444563","0.060438964664442","0.219392382166811","0.611653615372427","ku_thy"
"b[(Intercept) Stock:Harrison]","-0.149917894775403","-0.00288345325196389","0.0593684636008218","0.212749706670023","0.612604482809678","ku_thy"
"b[(Intercept) Stock:L.Shuswap]","-0.22096405887683","-0.0192924549647116","0.026674220194028","0.141132646428082","0.481581096423838","ku_thy"
"b[(Intercept) Stock:L.Stuart]","-0.476969300028482","-0.119502273670784","-0.0161321787640833","0.0273864698695119","0.239110864751718","ku_thy"
"b[(Intercept) Stock:Nadina]","-0.228730179202601","-0.0223550015533868","0.0188898525507649","0.121175094332276","0.476416323773641","ku_thy"
"b[(Intercept) Stock:Pitt]","-0.349264153023022","-0.0610781638287702","0.00188574229095957","0.0771141260869043","0.367727665950401","ku_thy"
"b[(Intercept) Stock:Portage]","-0.457743651375801","-0.119438058680039","-0.0192332436290611","0.0226641335901811","0.234685919809066","ku_thy"
"b[(Intercept) Stock:Quesnel]","-0.503836231017548","-0.148422499785158","-0.0278724350204843","0.0182687235096804","0.204349158878045","ku_thy"
"b[(Intercept) Stock:Raft]","-0.448408913652281","-0.0962845079659279","-0.00909292938249785","0.0411622923222981","0.291767223066495","ku_thy"
"b[(Intercept) Stock:Scotch]","-0.316982471088527","-0.0601232078501939","0.000931629347299663","0.0722188950443502","0.330642866575757","ku_thy"
"b[(Intercept) Stock:Seymour]","-0.449086845252075","-0.114749311295098","-0.016902325768458","0.0276815321854777","0.233957040381053","ku_thy"
"b[(Intercept) Stock:Stellako]","-0.415752880193448","-0.0973717012124333","-0.00850093546549513","0.0396326777288177","0.265296570674519","ku_thy"
"b[(Intercept) Stock:Weaver]","-0.460100433105047","-0.112741896681565","-0.0143418695611368","0.0297468528972199","0.241593014490988","ku_thy"
"b[(Intercept) Stock:Birkenhead]","-0.588014137817536","-0.158285573391836","-0.0334742880647534","0.0029655394008586","0.123297751390599","lo_sal"
"b[(Intercept) Stock:Bowron]","-0.530592172125614","-0.135949146959108","-0.0238484217189482","0.00858294690941409","0.151779146621646","lo_sal"
"b[(Intercept) Stock:Chilko]","-0.18042588198202","-0.0145590244482682","0.0196449242263883","0.118138770113917","0.514516443644595","lo_sal"
"b[(Intercept) Stock:E.Stuart]","-0.301586429181949","-0.0476399237293113","0.000887848232765508","0.0548107296367732","0.322637145525206","lo_sal"
"b[(Intercept) Stock:Fennell]","-0.531946754409689","-0.143562082117448","-0.0272998271585017","0.0066969359979966","0.129838917989195","lo_sal"
